Quantity,Name,Price,Color,Card Type,CMC,Edition (CODE),Mana Value,Scryfall ID
3x,Air-Cult Elemental,$0.13,Blue,Creature — Elemental,6,(AFR),{4}{U}{U},fba82564-a9a9-4ded-a5fa-0e5fab2a3faa
3x,Stonesplitter Bolt,$0.15,Red,Instant,1,(WOE),{X}{R},fb22f79c-3075-439d-a072-ceaabe35d76f
3x,You Happen On a Glade,$0.25,Green,Instant,3,(AFR),{2}{G},f9ae7693-a6b5-42f8-9f05-c0643b95a710
3x,"Butterbur, Bree Innkeeper",$0.12,White/Green,Legendary Creature — Human Peasant,4,(LTR),{2}{G}{W},f3fd9ff1-278b-4e6a-b30b-90250d8b5762
3x,Vampire Socialite,$0.27,Black/Red,Creature — Vampire Noble,2,(MID),{B}{R},f07cbf04-2864-4407-800e-4d55c10d3426
3x,Grizzly Ghoul,$0.15,Black/Green,Creature — Zombie Bear,4,(MID),{2}{B}{G},eec421f1-4ee8-4816-ab5c-372e87aae231
3x,Rimeshield Frost Giant,$0.15,Blue,Creature — Giant Warrior,5,(AFR),{3}{U}{U},ed6f1fc7-be88-46a3-8bd9-3f16332c2bd8
3x,Underdark Basilisk,$0.15,Green,Creature — Basilisk,2,(AFR),{1}{G},ed220158-e4e3-4d46-8098-7b940a923ce9
3x,Wild Shape,$0.23,Green,Instant,1,(AFR),{G},ec9738f1-b2e7-45a5-b235-290256aabed0
3x,Galedrifter // Waildrifter,$0.10,Blue,Creature — Hippogriff,4,(MID),{3}{U},eb34c472-c6ff-4d83-ac8b-a8f279593f98
3x,Eaten Alive,$0.22,Black,Sorcery,1,(MID),{B},e7975a3c-570a-4bff-a60d-d274f758b93f
3x,Makeshift Binding,$0.25,White,Enchantment,3,(MKM),{2}{W},e45d2e0c-d70d-40e5-8c3d-db6803393516
3x,Grim Wanderer,$0.20,Black,Creature — Goblin Warlock,2,(AFR),{1}{B},e339f0f7-a79d-4947-a9c4-b9a0949dd06a
3x,Lambholt Harrier,$0.11,Red,Creature — Wolf,2,(MID),{1}{R},e2a732ca-cd68-465f-8e44-783e1fe34e44
3x,Pestilent Wolf,$0.15,Green,Creature — Wolf,2,(MID),{1}{G},e2686431-8d9c-4b9c-998f-38b5ae113d4a
3x,Ugluk of the White Hand,$0.20,Black/Red,Legendary Creature — Orc Soldier,4,(LTR),{2}{B}{R},e162b5b2-ebc3-4790-9f19-ac3515a7fc13
3x,Raze the Effigy,$0.20,Red,Instant,1,(MID),{R},e0dd378c-5050-48c9-9a16-6d91afa62d21
3x,Island,$0.35,Land,Basic Land — Island,0,(MKM),,df18762d-9980-4344-9d4f-e9d2cd8e0456
3x,Neonate's Rush,$0.11,Red,Instant,3,(MID),{2}{R},dee17e12-e08f-4449-9f49-05f20e0d1670
3x,The Grey Havens,$0.25,Land,Legendary Land,0,(LTR),,dd698f10-b0fc-42fc-84ec-f5a0d96bfa1d
3x,Ominous Roost,$0.15,Blue,Enchantment,3,(MID),{2}{U},daf2b49a-56f9-4093-960f-9ec7af8983b5
3x,No Way Out,$0.15,Black,Sorcery,3,(MID),{2}{B},d9ef6a68-60a4-4a20-8b57-8b7a7c5ed0c6
3x,Siege Zombie,$0.15,Black,Creature — Zombie,2,(MID),{1}{B},d94b5270-840b-4905-815a-057029d7352f
3x,Stolen Vitality,$0.15,Red,Instant,2,(MID),{1}{R},d50df2dd-8d14-4d92-ab4e-bf9f9f147e91
3x,Wizard Class,$2.88,Blue,Enchantment — Class,1,(AFR),{U},d1f629fb-b097-4240-8560-ef47f5678f48
3x,Mounted Dreadknight,$0.10,Red,Creature — Vampire Knight,5,(MID),{4}{R},d1814fc8-011f-4cd4-825b-f00ae6ec0fe0
3x,Search Party Captain,$0.15,White,Creature — Human Soldier,4,(MID),{3}{W},cb9006c1-2e6f-4bca-a1c4-3cf2a8b6e964
3x,Evolving Wilds,$0.25,Land,Land,0,(MID),,cb471f90-46f2-4037-87fc-f523fc9d004f
3x,Pixie Guide,$0.20,Blue,Creature — Faerie,2,(AFR),{1}{U},c65631b9-ca62-4851-9eca-9c760fb1a177
3x,Falkenrath Perforator,$0.14,Red,Creature — Vampire,2,(MID),{1}{R},c40998e0-d7d0-4d79-a40a-9a381debd2cb
3x,Vampire Interloper,$0.15,Black,Creature — Vampire Scout,2,(MID),{1}{B},c3e2ea59-36f1-4e95-bfe8-7008b085194f
3x,Olog-hai Crusher,$0.10,Red,Creature — Troll Soldier,4,(LTR),{3}{R},c33bf593-62e0-491a-a31a-328bce6d8735
3x,Dueling Rapier,$0.15,Red,Artifact — Equipment,1,(AFR),{R},c304118a-c83b-490a-b0e2-721734a996ee
3x,Fading Hope,$1.20,Blue,Instant,1,(MID),{U},c2fb1fff-12be-4bd5-8dba-c36e84d49651
3x,Tapping at the Window,$0.15,Green,Sorcery,2,(MID),{1}{G},ba75dc52-7ab2-43ec-afac-0a9bcf24cde9
3x,You See a Pair of Goblins,$0.27,Red,Instant,3,(AFR),{2}{R},b69e7200-96ea-4455-83cc-0a497d56efe5
3x,Goblin Assailant,$0.20,Red,Creature — Goblin Warrior,2,(LTR),{1}{R},b4bda198-7ab4-4c6b-9fb1-93ac54c06a85
3x,Mountain,$0.37,Land,Basic Land — Mountain,0,(LTR),,af1b83d9-078b-44dc-a118-4659201f4854
3x,Galadhrim Bow,$0.10,Green,Artifact — Equipment,3,(LTR),{2}{G},9df34f21-798f-440d-8b09-ec5b5c0b8c12
3x,Olivia's Midnight Ambush,$0.11,Black,Instant,2,(MID),{1}{B},9c1adede-22ad-4c1c-9501-ad731fbe1742
3x,Skaab Wrangler,$0.15,Blue,Creature — Human Wizard,2,(MID),{1}{U},9771d9e8-97d5-44af-8612-dc5c44d65ceb
3x,Hedgewitch's Mask,$0.15,White,Artifact — Equipment,1,(MID),{W},97321072-1f7f-413b-9246-e6b3ec7a8c30
3x,Organ Hoarder,$0.15,Blue,Creature — Zombie,4,(MID),{3}{U},9716d384-88d1-415e-882f-7fed9be1adc6
3x,Component Collector,$0.12,Blue,Creature — Homunculus,3,(MID),{2}{U},956b74fc-1355-4668-838b-e8927794608c
3x,Nervous Gardener,$0.25,Green,Creature — Dryad,2,(MKM),{1}{G},93b747c7-b342-47f8-a190-16c393b20607
3x,Vivisection,$0.15,Blue,Sorcery,4,(MID),{3}{U},91be6a06-9c36-45a3-a591-183cb5c0f800
3x,Voldaren Stinger,$0.20,Red,Creature — Vampire Warrior,1,(DBL),{R},8c16ff56-6bb2-488a-827e-99868c9d78aa
3x,Mountain,$0.15,Land,Basic Land — Mountain,0,(WOE),,8996cd43-5ecd-4a05-a5a9-e49326befaa1
3x,Mirkwood Bats,$0.35,Black,Creature — Bat,4,(LTR),{3}{B},882747f9-b4fe-42be-8fe9-f871cd0779bd
3x,Ray of Frost,$0.20,Blue,Enchantment — Aura,2,(AFR),{1}{U},7edd5058-a964-4288-937b-84df6e9ba7c4
3x,Chaos Channeler,$0.20,Red,Creature — Human Shaman,4,(AFR),{2}{R}{R},7b9bb587-f732-42c9-a2a7-152629889997
3x,Vengeful Creeper,$0.25,Green,Creature — Plant Elemental,5,(MKM),{4}{G},7a914416-effd-4eda-b609-2773c53a08ec
3x,Dire Wolf Prowler,$0.15,Green,Creature — Wolf,3,(AFR),{2}{G},7669e373-0173-43db-8b86-abc319c9e8fc
3x,Homestead Courage,$0.20,White,Sorcery,1,(MID),{W},73a9c49f-fcd3-4572-bac7-6eb06fdc0815
3x,Precipitous Drop,$0.15,Black,Enchantment — Aura,3,(AFR),{2}{B},7293f9b4-565a-4065-940b-543f76ebecae
3x,Case File Auditor,$0.25,White,Creature — Human Detective,3,(MKM),{2}{W},70a52038-9d1c-4be1-8dbe-6f0ee916ba94
3x,Might of the Old Ways,$0.11,Green,Instant,2,(MID),{1}{G},6a853679-e9dd-4c05-8688-248de8f12760
3x,Easterling Vanguard,$0.20,Black,Creature — Human Warrior,2,(LTR),{1}{B},6a7d1982-d87d-418f-8cfa-740fae6bf3fd
3x,Celestus Sanctifier,$0.15,White,Creature — Human Cleric,3,(MID),{2}{W},67547253-ab98-4d3a-bf95-3e109cf60a85
3x,Bladebrand,$0.15,Black,Instant,2,(MID),{1}{B},64d4713d-321a-447f-a318-88b552ec5d0c
3x,Mordor Trebuchet,$0.10,Black,Artifact Creature — Wall,3,(LTR),{2}{B},648bc8ae-1798-4c2f-a372-0487a90ba4d3
3x,Devious Cover-Up,$0.15,Blue,Instant,4,(MID),{2}{U}{U},648281fe-89fb-4d8d-b944-3af28fb044f6
3x,Festival Crasher,$0.18,Red,Creature — Devil,2,(MID),{1}{R},626b0477-6165-443a-8a75-dfeac26ac9f9
3x,Swarming Goblins,$0.18,Red,Creature — Goblin,5,(AFR),{4}{R},623c1d1b-69a4-4bc4-b388-17a7600fd960
3x,Bramble Armor,$0.13,Green,Artifact — Equipment,2,(MID),{1}{G},621b58aa-c809-4baf-b2c8-3a46969598d7
3x,"Targ Nar, Demon-Fang Gnoll",$0.25,Red/Green,Legendary Creature — Gnoll,2,(AFR),{R}{G},5fe57856-9d35-470e-9138-360b02ac0c90
3x,Unruly Mob,$0.15,White,Creature — Human,2,(MID),{1}{W},5f48622a-abf3-407f-921f-77c29d59ba8e
3x,"Kalain, Reclusive Painter",$0.25,Black/Red,Legendary Creature — Human Elf Bard,2,(AFR),{B}{R},5df8cb7c-ad05-473b-9deb-7ce56c6799b8
3x,Undercover Crocodelf,$0.25,Blue/Green,Creature — Elf Crocodile Detective,6,(MKM),{4}{G}{U},5bc669c8-6f39-4d52-82d3-a4005d41c8a5
3x,Iron Golem,$0.18,,Artifact Creature — Golem,4,(AFR),{4},5ae24ef5-b12c-48ee-935a-00e048fb8d0f
3x,Bloodtithe Collector,$0.19,Black,Creature — Vampire Noble,5,(MID),{4}{B},57d5e536-7774-4949-8127-727ae4d8fc80
3x,Dawnhart Wardens,$0.15,White/Green,Creature — Human Warlock,3,(MID),{1}{G}{W},54c410dc-123c-4431-9ccb-3f17e6555d68
3x,Plains,$0.74,Land,Basic Land — Plains,0,(LTR),,4d48ef1f-e000-452b-aae8-c3257f149c7d
3x,Stuffed Bear,$0.15,,Artifact,2,(MID),{2},4cd40276-016b-475f-906f-74d31dceaf70
3x,"Gothmog, Morgul Lieutenant",$0.20,Black,Legendary Creature — Human Soldier,4,(LTR),{3}{B},4b9af0ce-db08-4ccf-a9f3-b7c1eea14423
3x,Samwise the Stouthearted,$0.19,White,Legendary Creature — Halfling Peasant,2,(LTR),{1}{W},44c6a273-9307-432a-96f5-3e536da70f95
3x,Cerebral Confiscation,$0.25,Black,Sorcery,3,(MKM),{2}{B},3c3c3d15-b775-44a2-91ea-4abcc3cf2dba
3x,Manticore,$0.15,Black,Creature — Manticore,4,(AFR),{3}{B},3b3d9117-724a-4b67-be27-142b9c283788
3x,Knight of the Keep,$0.19,White,Creature — Human Knight,3,(LTR),{2}{W},3af21576-3793-4796-ab60-112fbbb5fc0d
3x,Nasty End,$0.15,Black,Instant,2,(LTR),{1}{B},37271b8b-3c58-43aa-b120-f0aa12fb3ad5
3x,Candletrap,$0.15,White,Enchantment — Aura,1,(MID),{W},32869a36-f21e-4348-a787-871daa6151df
3x,Intrepid Outlander,$0.18,Green,Creature — Orc Ranger,2,(AFR),{1}{G},30b00777-d921-4264-9faf-5c048b656210
3x,Forest,$0.60,Land,Basic Land — Forest,0,(LTR),,2f5b488e-d725-4ef7-90f4-71091325c0b6
3x,Fleshtaker,$0.24,White/Black,Creature — Human Assassin,2,(MID),{W}{B},2ed8c0ef-2b53-49b5-bc2f-428628cb3975
3x,Clear Shot,$0.17,Green,Instant,3,(MID),{2}{G},27476d9c-006d-4227-a5f2-49c7234b84a1
3x,White Dragon,$0.20,White,Creature — Dragon,6,(AFR),{4}{W}{W},21e290c4-6c94-472a-9dec-6994aade29c2
3x,Public Thoroughfare,$0.25,Land,Land,0,(MKM),,1f8b915f-3e82-4b05-b963-01ebff7a8f7b
3x,The Chase Is On,$0.25,Red,Instant,3,(MKM),{2}{R},1d54d596-f7aa-4b05-ab13-19b246698c04
3x,Phantom Carriage,$0.15,Blue,Creature — Spirit,6,(MID),{4}{U}{U},1990ed41-3739-40f6-8797-359f88af05f9
3x,Diregraf Horde,$0.15,Black,Creature — Zombie,5,(MID),{4}{B},153be768-ddad-44f2-bcdd-c40353c807d7
3x,Brimstone Vandal,$0.15,Red,Creature — Devil,3,(MID),{2}{R},10addf9a-daca-4b84-a9d3-f98f7b955af9
3x,Repeat Offender,$0.25,Black,Creature — Human Assassin,2,(MKM),{1}{B},0c2ca1e7-e0de-4d29-a81b-62185ccd295f
3x,Swarming of Moria,$0.12,Red,Sorcery,3,(LTR),{2}{R},0a1bd073-4351-4c56-9b07-4430d0d83084
3x,Innocent Bystander,$0.25,Red,Creature — Goblin Citizen,2,(MKM),{1}{R},085f4595-4ae5-428e-a934-e918774df6fd
3x,Due Diligence,$0.25,White,Enchantment — Aura,3,(MKM),{2}{W},076d9f76-a247-4727-9e0f-a0289c51059e
3x,Sudden Insight,$0.15,Blue,Instant,6,(AFR),{4}{U}{U},06ec3c87-d5aa-4f8a-a9bf-ef4e38e21ad1
3x,Temple of the Dragon Queen,$0.41,Land,Land,0,(AFR),,01054cee-3105-4e80-9ded-0ae57db5c159
2x,Ray of Enfeeblement,$0.25,Black,Instant,1,(AFR),{B},ff5d948b-fd89-4b90-9b63-ad7da13b5f0e
2x,Plunge into Winter,$0.15,White,Instant,2,(WOE),{1}{W},fe4aceba-f386-457c-bc68-6382eda46754
2x,Rite of Oblivion,$0.44,White/Black,Sorcery,2,(MID),{W}{B},fe1f8d52-565e-4900-8357-fd29f2022dc1
2x,The Bath Song,$0.20,Blue,Enchantment — Saga,4,(LTR),{3}{U},fb11c04f-6f17-4da4-bbf6-0bd09de6e544
2x,Stromkirk Bloodthief,$0.21,Black,Creature — Vampire Rogue,3,(MID),{2}{B},fa819123-bf13-44ea-9a6e-06c8ab023e44
2x,Moonveil Regent,$0.73,Red,Creature — Dragon,4,(MID),{3}{R},f9fc55fd-161a-4d77-82f0-27075210e7e7
2x,Purifying Dragon,$0.19,Red,Creature — Dragon,5,(MID),{3}{R}{R},f9db384e-9555-4ccc-a305-ee448252e685
2x,"Tovolar, Dire Overlord // Tovolar, the Midnight Scourge",$0.69,Red/Green,Legendary Creature — Human Werewolf,3,(MID),{1}{R}{G},f953fad3-0cd1-48aa-8ed9-d7d2e293e6e2
2x,"Slogurk, the Overslime",$0.44,Blue/Green,Legendary Creature — Ooze,3,(MID),{1}{G}{U},f94e888b-6eeb-4ef3-ab21-5ed2bf0036a3
2x,Conceited Witch // Price of Beauty,$0.15,Black,Creature — Human Warlock // Sorcery — Adventure,3,(WOE),{2}{B} // {B},f8a0c0f6-fef9-42c5-934d-a2855c11b440
2x,Taken by Nightmares,$0.15,Black,Instant,4,(WOE),{2}{B}{B},f858d83d-a13e-4ffa-a91d-d695e5e5d71a
2x,Hobgoblin Captain,$0.15,Red,Creature — Goblin Barbarian,2,(AFR),{1}{R},f7c0aa86-fd3b-4e0f-9d37-ce1ea8922243
2x,Horses of the Bruinen,$0.15,Blue,Sorcery,5,(LTR),{3}{U}{U},f7725dc2-2654-4ffb-b6b3-510ae64ec6af
2x,"Theoden, King of Rohan",$0.15,White/Red,Legendary Creature — Human Noble,3,(LTR),{1}{R}{W},f6dcd1ca-4943-46e4-bb5d-c14949e21e23
2x,Pick Your Poison,$0.50,Green,Sorcery,1,(MKM),{G},f58cfb23-4d99-4133-bf4b-d7e7c7d17cea
2x,Hulking Bugbear,$0.17,Red,Creature — Goblin,3,(AFR),{1}{R}{R},f55d43d4-5f63-45c3-b8f8-0aebd23750a5
2x,They Went This Way,$0.25,Green,Sorcery,3,(MKM),{2}{G},f4a31d4a-34bc-46b4-b20f-a5460191b35d
2x,Galadhrim Guide,$0.11,Green,Creature — Elf Scout,4,(LTR),{3}{G},f4603f59-f899-4caf-a874-bf234d2045fb
2x,Hallowed Respite,$0.26,White/Blue,Sorcery,2,(MID),{W}{U},f2877523-6321-47e6-8be4-755ec21676c6
2x,Half-Elf Monk,$0.15,White,Creature — Human Elf Monk,4,(AFR),{3}{W},f10f1687-fb20-4ad2-bad7-52e4470b35e4
2x,High Fae Negotiator,$0.15,Black,Creature — Faerie Warlock,5,(WOE),{3}{B}{B},f0fc77e7-154d-4433-93b3-1a1dee34791b
2x,Barrow-Blade,$0.15,,Artifact — Equipment,1,(LTR),{1},f0eb7284-78a5-4b5e-8f6d-6be540e0bef8
2x,Geistwave,$0.19,Blue,Instant,2,(MID),{1}{U},f0e3d1ac-bec2-4bba-a6cf-a823996dde2d
2x,Toadstool Admirer,$0.11,Green,Creature — Ouphe,1,(WOE),{G},f0a6349a-beff-4abd-b005-86d27c1e2957
2x,Ritual Guardian,$0.12,White,Creature — Human Soldier,3,(MID),{2}{W},f077f07e-4660-4483-b6ea-16cca0956892
2x,Falcon Abomination,$0.15,Blue,Creature — Zombie Bird,3,(MID),{2}{U},f0668413-859d-4ec4-a4d8-17ec7f5b1b8b
2x,You Find a Cursed Idol,$0.25,Green,Sorcery,2,(AFR),{1}{G},efb5671a-942a-4730-9756-32fe600e0528
2x,Monstrous Rage,$0.49,Red,Instant,1,(WOE),{R},eef5a0ae-5907-42c9-a097-3f973737e392
